Scrip Code,COMPANY,ISIN No.,Close Price
503960,BHARAT BIJLEE LTD.,INE464A01036,4826.8
541143,Bharat Dynamics Limited,INE171Z01026,1315.6
500049,BHARAT ELECTRONICS LTD.,INE263A01024,306.05
500493,BHARAT FORGE LTD.,INE465A01025,1620.85
500103,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,296.15
500547,BHARAT PETROLEUM CORPORATION L,INE029A01011,352
539799,Bharat Wire Ropes Limited,INE316L01019,263.35
532454,BHARTI AIRTEL LTD.,INE397D01024,1506.05
540061,Bigbloc Construction Limited,INE412U01025,247.95
543653,Bikaji Foods International Lim,INE00E101023,853.9
532523,BIOCON LTD.,INE376G01013,351.65
500335,BIRLA CORPORATION LTD.,INE340A01012,1327.2
532400,BIRLASOFT LIMITED,INE836A01035,602.35
500463,BLACK BOX LIMITED,INE676A01027,518.65
514183,BLACK ROSE INDUSTRIES LTD.,INE761G01016,134.5
506197,BLISS GVS PHARMA LTD.,INE416D01022,131.75
540073,BLS International Services Ltd,INE153T01027,397.15
526612,BLUE DART EXPRESS LTD.,INE233B01017,8091.1
544009,Blue Jet Healthcare Limited,INE0KBH01020,472.85
500067,BLUE STAR LTD.,INE472A01039,1723.65
524370,BODAL CHEMICALS LTD.,INE338D01028,80.45
501425,BOMBAY BURMAH TRADING CORP.LTD,INE050A01025,2525.6
500020,BOMBAY DYEING & MFG.CO.LTD.,INE032A01023,220.6
543212,Borosil Limited,INE02PY01013,431.2
502219,BOROSIL RENEWABLES LIMITED,INE666D01022,514.25
500530,BOSCH LTD.,INE323A01026,32596.85
532929,BRIGADE ENTERPRISES LTD.,INE791I01019,1131.1
500825,BRITANNIA INDUSTRIES LTD.,INE216A01030,5793.5
517421,BUTTERFLY GANDHIMATHI APPLIANC,INE295F01017,879.9
543425,C.E. Info Systems Limited,INE0BV301023,2137.7
532834,Camlin Fine Sciences Ltd,INE052I01032,105.7
543523,Campus Activewear Limited,INE278Y01022,284.15
511196,CAN FIN HOMES LTD.,INE477A01020,850.65
