stock_symbol,date,rsi,macd,bollinger_bands,sma,ema,stochastic,atr,obv,fibonacci_retracement,ichimoku_cloud,parabolic_sar,score
PIONRINV,2024-08-31,"{'value': np.float64(83.4276), 'signal': 'bearish'}","{'value': {'macd': np.float64(5.77484), 'signal': np.float64(3.58048), 'histogram': np.float64(2.19437)}, 'signal': 'bullish'}","{'middle_band': np.float64(56.431), 'upper_band': np.float64(74.80018), 'lower_band': np.float64(38.06182), 'signal': None}","{'value': np.float64(56.431), 'signal': 'bullish'}","{'value': np.float64(59.52528), 'signal': 'bullish'}","{'k_value': np.float64(84.38141), 'd_value': np.float64(85.60137), 'signal': 'bearish'}","{'value': np.float64(5.35429), 'signal': 'stable'}","{'value': 334723, 'signal': 'bearish'}","{'levels': {'level_0': array(72.66), 'level_236': array(62.39164), 'level_382': array(56.03918), 'level_618': array(45.77082), 'level_100': array(29.15)}, 'signal': 'bullish'}","{'tenkan_sen': 64.105, 'kijun_sen': 61.0, 'senkou_span_a': 49.55, 'senkou_span_b': 50.53, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 61.90732, 'signal': 'bullish'}",71.87
SIMMOND,2024-08-31,"{'value': np.float64(86.05096), 'signal': 'bearish'}","{'value': {'macd': np.float64(5.29801), 'signal': np.float64(3.25505), 'histogram': np.float64(2.04296)}, 'signal': 'bullish'}","{'middle_band': np.float64(97.4045), 'upper_band': np.float64(118.35916), 'lower_band': np.float64(76.44984), 'signal': None}","{'value': np.float64(97.4045), 'signal': 'bullish'}","{'value': np.float64(101.41375), 'signal': 'bullish'}","{'k_value': np.float64(92.40766), 'd_value': np.float64(95.17195), 'signal': 'bearish'}","{'value': np.float64(4.33214), 'signal': 'stable'}","{'value': 1071071, 'signal': 'neutral'}","{'levels': {'level_0': array(117.51), 'level_236': array(101.57764), 'level_382': array(91.72118), 'level_618': array(75.78882), 'level_100': array(50.)}, 'signal': 'bullish'}","{'tenkan_sen': 105.34, 'kijun_sen': 98.6, 'senkou_span_a': 99.6575, 'senkou_span_b': 97.8, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 96.79654, 'signal': 'bullish'}",71.83
PANCARBON,2024-08-31,"{'value': np.float64(77.13671), 'signal': 'bearish'}","{'value': {'macd': np.float64(34.18275), 'signal': np.float64(25.8059), 'histogram': np.float64(8.37685)}, 'signal': 'bullish'}","{'middle_band': np.float64(568.975), 'upper_band': np.float64(687.22057), 'lower_band': np.float64(450.72943), 'signal': None}","{'value': np.float64(568.975), 'signal': 'bullish'}","{'value': np.float64(586.39359), 'signal': 'bullish'}","{'k_value': np.float64(71.70134), 'd_value': np.float64(84.49402), 'signal': 'bearish'}","{'value': np.float64(34.175), 'signal': 'volatile'}","{'value': 651962, 'signal': 'bearish'}","{'levels': {'level_0': array(658.8), 'level_236': array(594.3484), 'level_382': array(554.4758), 'level_618': array(490.0242), 'level_100': array(385.7)}, 'signal': 'bullish'}","{'tenkan_sen': 625.875, 'kijun_sen': 582.625, 'senkou_span_a': 525.4, 'senkou_span_b': 535.3, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 592.08602, 'signal': 'bullish'}",71.8
WARRENTEA,2024-08-31,"{'value': np.float64(68.82731), 'signal': None}","{'value': {'macd': np.float64(2.40558), 'signal': np.float64(1.79788), 'histogram': np.float64(0.60771)}, 'signal': 'bullish'}","{'middle_band': np.float64(53.51), 'upper_band': np.float64(61.54655), 'lower_band': np.float64(45.47345), 'signal': None}","{'value': np.float64(53.51), 'signal': 'bullish'}","{'value': np.float64(54.6741), 'signal': 'bullish'}","{'k_value': np.float64(67.85714), 'd_value': np.float64(73.56683), 'signal': 'bearish'}","{'value': np.float64(3.92357), 'signal': 'volatile'}","{'value': 368948, 'signal': 'bearish'}","{'levels': {'level_0': array(60.74), 'level_236': array(55.017), 'level_382': array(51.4765), 'level_618': array(45.7535), 'level_100': array(36.49)}, 'signal': 'bullish'}","{'tenkan_sen': 56.13, 'kijun_sen': 55.18, 'senkou_span_a': 50.9625, 'senkou_span_b': 50.505, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 53.7446, 'signal': 'bullish'}",71.77
EVERESTIND,2024-08-31,"{'value': np.float64(62.95168), 'signal': None}","{'value': {'macd': np.float64(-4.52724), 'signal': np.float64(-12.69485), 'histogram': np.float64(8.16761)}, 'signal': 'bullish'}","{'middle_band': np.float64(1106.345), 'upper_band': np.float64(1210.97378), 'lower_band': np.float64(1001.71622), 'signal': None}","{'value': np.float64(1106.345), 'signal': 'bullish'}","{'value': np.float64(1122.09532), 'signal': 'bullish'}","{'k_value': np.float64(82.59912), 'd_value': np.float64(79.37502), 'signal': 'bullish'}","{'value': np.float64(36.45714), 'signal': 'stable'}","{'value': 89973, 'signal': 'bullish'}","{'levels': {'level_0': array(1402.7), 'level_236': array(1286.9066), 'level_382': array(1215.2717), 'level_618': array(1099.4783), 'level_100': array(912.05)}, 'signal': 'neutral'}","{'tenkan_sen': 1106.6, 'kijun_sen': 1138.975, 'senkou_span_a': 1182.3125, 'senkou_span_b': 1104.45, 'chikou_span': 0.0, 'signal': 'neutral'}","{'value': 1094.02092, 'signal': 'bullish'}",71.73
LANCORHOL,2024-08-31,"{'value': np.float64(53.52586), 'signal': None}","{'value': {'macd': np.float64(0.01979), 'signal': np.float64(-0.28988), 'histogram': np.float64(0.30967)}, 'signal': 'bullish'}","{'middle_band': np.float64(42.502), 'upper_band': np.float64(45.82688), 'lower_band': np.float64(39.17712), 'signal': None}","{'value': np.float64(42.502), 'signal': 'bullish'}","{'value': np.float64(42.8967), 'signal': 'bullish'}","{'k_value': np.float64(47.14612), 'd_value': np.float64(42.04718), 'signal': 'bullish'}","{'value': np.float64(2.28286), 'signal': 'volatile'}","{'value': -6102, 'signal': 'bullish'}","{'levels': {'level_0': array(55.01), 'level_236': array(51.3874), 'level_382': array(49.1463), 'level_618': array(45.5237), 'level_100': array(39.66)}, 'signal': 'bearish'}","{'tenkan_sen': 43.89, 'kijun_sen': 43.41, 'senkou_span_a': 45.1775, 'senkou_span_b': 45.08, 'chikou_span': 0.0, 'signal': 'bearish'}","{'value': 40.80631, 'signal': 'bullish'}",71.7
GUFICBIO,2024-08-31,"{'value': np.float64(69.85263), 'signal': None}","{'value': {'macd': np.float64(12.51261), 'signal': np.float64(6.4702), 'histogram': np.float64(6.04241)}, 'signal': 'bullish'}","{'middle_band': np.float64(364.59), 'upper_band': np.float64(408.77971), 'lower_band': np.float64(320.40029), 'signal': None}","{'value': np.float64(364.59), 'signal': 'bullish'}","{'value': np.float64(371.53211), 'signal': 'bullish'}","{'k_value': np.float64(79.66507), 'd_value': np.float64(85.70574), 'signal': 'bearish'}","{'value': np.float64(17.65714), 'signal': 'stable'}","{'value': 469372, 'signal': 'bearish'}","{'levels': {'level_0': array(409.65), 'level_236': array(370.9696), 'level_382': array(347.0402), 'level_618': array(308.3598), 'level_100': array(245.75)}, 'signal': 'bullish'}","{'tenkan_sen': 378.475, 'kijun_sen': 371.975, 'senkou_span_a': 358.475, 'senkou_span_b': 332.5, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 353.32362, 'signal': 'bullish'}",71.67
GARFIBRES,2024-08-31,"{'value': np.float64(61.04839), 'signal': None}","{'value': {'macd': np.float64(-1.0799), 'signal': np.float64(-19.80385), 'histogram': np.float64(18.72395)}, 'signal': 'bullish'}","{'middle_band': np.float64(3730.2875), 'upper_band': np.float64(3882.78617), 'lower_band': np.float64(3577.78883), 'signal': None}","{'value': np.float64(3730.2875), 'signal': 'bullish'}","{'value': np.float64(3761.19726), 'signal': 'bullish'}","{'k_value': np.float64(61.06146), 'd_value': np.float64(61.01624), 'signal': 'bullish'}","{'value': np.float64(139.43929), 'signal': 'volatile'}","{'value': 40536, 'signal': 'bullish'}","{'levels': {'level_0': array(4140.5), 'level_236': array(3895.296), 'level_382': array(3743.602), 'level_618': array(3498.398), 'level_100': array(3101.5)}, 'signal': 'neutral'}","{'tenkan_sen': 3817.7, 'kijun_sen': 3801.575, 'senkou_span_a': 3902.0, 'senkou_span_b': 3727.325, 'chikou_span': 0.0, 'signal': 'neutral'}","{'value': 3656.3131, 'signal': 'bullish'}",71.64
ITDCEM,2024-08-31,"{'value': np.float64(55.98131), 'signal': None}","{'value': {'macd': np.float64(14.02976), 'signal': np.float64(14.41226), 'histogram': np.float64(-0.3825)}, 'signal': 'bearish'}","{'middle_band': np.float64(537.465), 'upper_band': np.float64(593.464), 'lower_band': np.float64(481.466), 'signal': None}","{'value': np.float64(537.465), 'signal': 'bullish'}","{'value': np.float64(540.86034), 'signal': 'bullish'}","{'k_value': np.float64(46.60377), 'd_value': np.float64(64.02146), 'signal': 'bearish'}","{'value': np.float64(23.43214), 'signal': 'stable'}","{'value': 9113716, 'signal': 'bullish'}","{'levels': {'level_0': array(580.95), 'level_236': array(485.9954), 'level_382': array(427.2523), 'level_618': array(332.2977), 'level_100': array(178.6)}, 'signal': 'bullish'}","{'tenkan_sen': 559.8, 'kijun_sen': 523.775, 'senkou_span_a': 504.4625, 'senkou_span_b': 470.825, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 514.50452, 'signal': 'bullish'}",71.6
GOACARBON,2024-08-31,"{'value': np.float64(70.70605), 'signal': 'bearish'}","{'value': {'macd': np.float64(6.43819), 'signal': np.float64(-6.46675), 'histogram': np.float64(12.90493)}, 'signal': 'bullish'}","{'middle_band': np.float64(756.0725), 'upper_band': np.float64(857.46095), 'lower_band': np.float64(654.68405), 'signal': None}","{'value': np.float64(756.0725), 'signal': 'bullish'}","{'value': np.float64(762.64655), 'signal': 'bullish'}","{'k_value': np.float64(61.35278), 'd_value': np.float64(58.40248), 'signal': 'bullish'}","{'value': np.float64(33.48929), 'signal': 'stable'}","{'value': 865646, 'signal': 'bullish'}","{'levels': {'level_0': array(981.8), 'level_236': array(868.6026), 'level_382': array(798.5737), 'level_618': array(685.3763), 'level_100': array(502.15)}, 'signal': 'neutral'}","{'tenkan_sen': 797.3, 'kijun_sen': 794.875, 'senkou_span_a': 775.85, 'senkou_span_b': 824.95, 'chikou_span': 0.0, 'signal': 'neutral'}","{'value': 722.7207, 'signal': 'bullish'}",71.57
BENARAS,2024-08-31,"{'value': np.float64(57.50109), 'signal': None}","{'value': {'macd': np.float64(-92.95584), 'signal': np.float64(-129.45065), 'histogram': np.float64(36.49481)}, 'signal': 'bullish'}","{'middle_band': np.float64(7837.3775), 'upper_band': np.float64(8157.71882), 'lower_band': np.float64(7517.03618), 'signal': None}","{'value': np.float64(7837.3775), 'signal': 'bullish'}","{'value': np.float64(7905.53358), 'signal': 'bullish'}","{'k_value': np.float64(76.55547), 'd_value': np.float64(64.30697), 'signal': 'bullish'}","{'value': np.float64(278.11429), 'signal': 'volatile'}","{'value': 24333, 'signal': 'bullish'}","{'levels': {'level_0': array(9942.2), 'level_236': array(8748.6064), 'level_382': array(8010.1968), 'level_618': array(6816.6032), 'level_100': array(4884.6)}, 'signal': 'neutral'}","{'tenkan_sen': 7877.825, 'kijun_sen': 7824.625, 'senkou_span_a': 8547.0625, 'senkou_span_b': 8700.0, 'chikou_span': 0.0, 'signal': 'bearish'}","{'value': 7674.36045, 'signal': 'bullish'}",71.54
PREMSYN,2024-08-31,"{'value': np.float64(76.24555), 'signal': 'bearish'}","{'value': {'macd': np.float64(1.97912), 'signal': np.float64(1.67758), 'histogram': np.float64(0.30154)}, 'signal': 'bullish'}","{'middle_band': np.float64(23.9165), 'upper_band': np.float64(28.91317), 'lower_band': np.float64(18.91983), 'signal': None}","{'value': np.float64(23.9165), 'signal': 'bullish'}","{'value': np.float64(24.46446), 'signal': 'bullish'}","{'k_value': np.float64(80.09259), 'd_value': np.float64(90.7684), 'signal': 'bearish'}","{'value': np.float64(1.68786), 'signal': 'stable'}","{'value': 806007, 'signal': 'bearish'}","{'levels': {'level_0': array(28.94), 'level_236': array(25.23008), 'level_382': array(22.93496), 'level_618': array(19.22504), 'level_100': array(13.22)}, 'signal': 'bullish'}","{'tenkan_sen': 26.2, 'kijun_sen': 23.96, 'senkou_span_a': 20.2025, 'senkou_span_b': 19.75, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 25.66458, 'signal': 'bullish'}",71.5
VSTIND,2024-08-31,"{'value': np.float64(72.31725), 'signal': 'bearish'}","{'value': {'macd': np.float64(125.54487), 'signal': np.float64(72.924), 'histogram': np.float64(52.62088)}, 'signal': 'bullish'}","{'middle_band': np.float64(4326.99), 'upper_band': np.float64(4797.05871), 'lower_band': np.float64(3856.92129), 'signal': None}","{'value': np.float64(4326.99), 'signal': 'bullish'}","{'value': np.float64(4397.87602), 'signal': 'bullish'}","{'k_value': np.float64(62.84911), 'd_value': np.float64(80.92205), 'signal': 'bearish'}","{'value': np.float64(141.825), 'signal': 'volatile'}","{'value': 351160, 'signal': 'bearish'}","{'levels': {'level_0': array(4800.25), 'level_236': array(4418.3784), 'level_382': array(4182.1358), 'level_618': array(3800.2642), 'level_100': array(3182.15)}, 'signal': 'bullish'}","{'tenkan_sen': 4487.725, 'kijun_sen': 4341.75, 'senkou_span_a': 4423.5, 'senkou_span_b': 4285.025, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 4303.38806, 'signal': 'bullish'}",71.47
JAYSREETEA,2024-08-31,"{'value': np.float64(58.14932), 'signal': None}","{'value': {'macd': np.float64(3.43177), 'signal': np.float64(3.26739), 'histogram': np.float64(0.16438)}, 'signal': 'bullish'}","{'middle_band': np.float64(126.98), 'upper_band': np.float64(138.93396), 'lower_band': np.float64(115.02604), 'signal': None}","{'value': np.float64(126.98), 'signal': 'bullish'}","{'value': np.float64(128.07286), 'signal': 'bullish'}","{'k_value': np.float64(40.39216), 'd_value': np.float64(50.56396), 'signal': 'bearish'}","{'value': np.float64(7.04286), 'signal': 'volatile'}","{'value': 1701151, 'signal': 'bearish'}","{'levels': {'level_0': array(138.7), 'level_236': array(126.5224), 'level_382': array(118.9888), 'level_618': array(106.8112), 'level_100': array(87.1)}, 'signal': 'bullish'}","{'tenkan_sen': 133.05, 'kijun_sen': 129.275, 'senkou_span_a': 120.6875, 'senkou_span_b': 109.675, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 125.99793, 'signal': 'bullish'}",71.44
ANJANIFOODS,2024-08-31,"{'value': np.float64(54.80869), 'signal': None}","{'value': {'macd': np.float64(-0.3705), 'signal': np.float64(-0.44757), 'histogram': np.float64(0.07707)}, 'signal': 'bullish'}","{'middle_band': np.float64(39.7735), 'upper_band': np.float64(41.67958), 'lower_band': np.float64(37.86742), 'signal': None}","{'value': np.float64(39.7735), 'signal': 'bullish'}","{'value': np.float64(39.98125), 'signal': 'bullish'}","{'k_value': np.float64(68.53707), 'd_value': np.float64(53.44021), 'signal': 'bullish'}","{'value': np.float64(1.85643), 'signal': 'stable'}","{'value': 787327, 'signal': 'bullish'}","{'levels': {'level_0': array(50.2), 'level_236': array(44.06164), 'level_382': array(40.26418), 'level_618': array(34.12582), 'level_100': array(24.19)}, 'signal': 'neutral'}","{'tenkan_sen': 39.76, 'kijun_sen': 40.74, 'senkou_span_a': 44.185, 'senkou_span_b': 40.21, 'chikou_span': 0.0, 'signal': 'neutral'}","{'value': 37.52, 'signal': 'bullish'}",71.41
SATINDLTD,2024-08-31,"{'value': np.float64(67.62861), 'signal': None}","{'value': {'macd': np.float64(5.83185), 'signal': np.float64(4.86519), 'histogram': np.float64(0.96665)}, 'signal': 'bullish'}","{'middle_band': np.float64(108.8035), 'upper_band': np.float64(123.43954), 'lower_band': np.float64(94.16746), 'signal': None}","{'value': np.float64(108.8035), 'signal': 'bullish'}","{'value': np.float64(109.80684), 'signal': 'bullish'}","{'k_value': np.float64(69.73684), 'd_value': np.float64(75.26212), 'signal': 'bearish'}","{'value': np.float64(6.58571), 'signal': 'stable'}","{'value': 2085791, 'signal': 'bullish'}","{'levels': {'level_0': array(140.32), 'level_236': array(127.22908), 'level_382': array(119.13046), 'level_618': array(106.03954), 'level_100': array(84.85)}, 'signal': 'neutral'}","{'tenkan_sen': 115.375, 'kijun_sen': 106.45, 'senkou_span_a': 91.4825, 'senkou_span_b': 93.7, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 109.80896, 'signal': 'bullish'}",71.37
ICDSLTD,2024-08-31,"{'value': np.float64(67.45283), 'signal': None}","{'value': {'macd': np.float64(0.57154), 'signal': np.float64(0.02159), 'histogram': np.float64(0.54994)}, 'signal': 'bullish'}","{'middle_band': np.float64(38.032), 'upper_band': np.float64(41.65077), 'lower_band': np.float64(34.41323), 'signal': None}","{'value': np.float64(38.032), 'signal': 'bullish'}","{'value': np.float64(38.68543), 'signal': 'bullish'}","{'k_value': np.float64(89.17589), 'd_value': np.float64(89.6269), 'signal': 'bearish'}","{'value': np.float64(1.03929), 'signal': 'volatile'}","{'value': 210731, 'signal': 'bullish'}","{'levels': {'level_0': array(64.76), 'level_236': array(55.05804), 'level_382': array(49.05598), 'level_618': array(39.35402), 'level_100': array(23.65)}, 'signal': 'neutral'}","{'tenkan_sen': 38.315, 'kijun_sen': 38.315, 'senkou_span_a': 39.15, 'senkou_span_b': 39.15, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 36.09317, 'signal': 'bullish'}",71.34
CREST,2024-08-31,"{'value': np.float64(70.6168), 'signal': 'bearish'}","{'value': {'macd': np.float64(10.78182), 'signal': np.float64(9.34459), 'histogram': np.float64(1.43722)}, 'signal': 'bullish'}","{'middle_band': np.float64(439.9525), 'upper_band': np.float64(485.53564), 'lower_band': np.float64(394.36936), 'signal': None}","{'value': np.float64(439.9525), 'signal': 'bullish'}","{'value': np.float64(443.49055), 'signal': 'bullish'}","{'k_value': np.float64(54.84862), 'd_value': np.float64(59.30964), 'signal': 'bearish'}","{'value': np.float64(21.02857), 'signal': 'volatile'}","{'value': 581045, 'signal': 'bearish'}","{'levels': {'level_0': array(492.65), 'level_236': array(430.2398), 'level_382': array(391.6301), 'level_618': array(329.2199), 'level_100': array(228.2)}, 'signal': 'bullish'}","{'tenkan_sen': 472.225, 'kijun_sen': 447.525, 'senkou_span_a': 418.85, 'senkou_span_b': 393.65, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 420.28678, 'signal': 'bullish'}",71.31
CAPTRUST,2024-08-31,"{'value': np.float64(67.91478), 'signal': None}","{'value': {'macd': np.float64(8.68316), 'signal': np.float64(7.13443), 'histogram': np.float64(1.54873)}, 'signal': 'bullish'}","{'middle_band': np.float64(144.74), 'upper_band': np.float64(172.12564), 'lower_band': np.float64(117.35436), 'signal': None}","{'value': np.float64(144.74), 'signal': 'bullish'}","{'value': np.float64(147.53083), 'signal': 'bullish'}","{'k_value': np.float64(54.87914), 'd_value': np.float64(56.54877), 'signal': 'bearish'}","{'value': np.float64(10.58214), 'signal': 'stable'}","{'value': 684752, 'signal': 'bearish'}","{'levels': {'level_0': array(170.25), 'level_236': array(151.2166), 'level_382': array(139.4417), 'level_618': array(120.4083), 'level_100': array(89.6)}, 'signal': 'bullish'}","{'tenkan_sen': 157.575, 'kijun_sen': 152.25, 'senkou_span_a': 125.7875, 'senkou_span_b': 121.725, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 141.34322, 'signal': 'bullish'}",71.27
VEERHEALTH,2024-08-31,"{'value': np.float64(53.59343), 'signal': None}","{'value': {'macd': np.float64(-0.06236), 'signal': np.float64(-0.02576), 'histogram': np.float64(-0.0366)}, 'signal': 'bearish'}","{'middle_band': np.float64(23.31), 'upper_band': np.float64(24.6807), 'lower_band': np.float64(21.9393), 'signal': None}","{'value': np.float64(23.31), 'signal': 'bullish'}","{'value': np.float64(23.27272), 'signal': 'bullish'}","{'k_value': np.float64(82.53165), 'd_value': np.float64(38.98114), 'signal': 'bullish'}","{'value': np.float64(1.55214), 'signal': 'volatile'}","{'value': 16373386, 'signal': 'bullish'}","{'levels': {'level_0': array(28.78), 'level_236': array(25.91496), 'level_382': array(24.14252), 'level_618': array(21.27748), 'level_100': array(16.64)}, 'signal': 'neutral'}","{'tenkan_sen': 23.375, 'kijun_sen': 24.2, 'senkou_span_a': 23.2525, 'senkou_span_b': 21.925, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 21.6, 'signal': 'bullish'}",71.24
BHARAT,2024-08-31,"{'value': np.float64(67.31216), 'signal': None}","{'value': {'macd': np.float64(2.57489), 'signal': np.float64(2.49665), 'histogram': np.float64(0.07823)}, 'signal': 'bullish'}","{'middle_band': np.float64(47.9085), 'upper_band': np.float64(54.57825), 'lower_band': np.float64(41.23875), 'signal': None}","{'value': np.float64(47.9085), 'signal': 'bullish'}","{'value': np.float64(48.38396), 'signal': 'bullish'}","{'k_value': np.float64(61.53191), 'd_value': np.float64(66.6383), 'signal': 'bearish'}","{'value': np.float64(2.88214), 'signal': 'stable'}","{'value': 544882, 'signal': 'bearish'}","{'levels': {'level_0': array(53.2), 'level_236': array(46.39376), 'level_382': array(42.18312), 'level_618': array(35.37688), 'level_100': array(24.36)}, 'signal': 'bullish'}","{'tenkan_sen': 50.95, 'kijun_sen': 47.45, 'senkou_span_a': 41.4725, 'senkou_span_b': 38.945, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 47.75323, 'signal': 'bullish'}",71.21
VLSFINANCE,2024-08-31,"{'value': np.float64(93.40102), 'signal': 'bearish'}","{'value': {'macd': np.float64(18.79801), 'signal': np.float64(16.78061), 'histogram': np.float64(2.0174)}, 'signal': 'bullish'}","{'middle_band': np.float64(344.0425), 'upper_band': np.float64(401.87186), 'lower_band': np.float64(286.21314), 'signal': None}","{'value': np.float64(344.0425), 'signal': 'bullish'}","{'value': np.float64(350.09223), 'signal': 'bullish'}","{'k_value': np.float64(86.59341), 'd_value': np.float64(93.93355), 'signal': 'bearish'}","{'value': np.float64(12.67857), 'signal': 'stable'}","{'value': 1022396, 'signal': 'bearish'}","{'levels': {'level_0': array(379.25), 'level_236': array(329.867), 'level_382': array(299.3165), 'level_618': array(249.9335), 'level_100': array(170.)}, 'signal': 'bullish'}","{'tenkan_sen': 371.5, 'kijun_sen': 324.775, 'senkou_span_a': 306.225, 'senkou_span_b': 285.975, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 354.10367, 'signal': 'bullish'}",71.17
DHARFIN,2024-08-31,"{'value': np.float64(61.93548), 'signal': None}","{'value': {'macd': np.float64(0.24783), 'signal': np.float64(0.20447), 'histogram': np.float64(0.04336)}, 'signal': 'bullish'}","{'middle_band': np.float64(7.8255), 'upper_band': np.float64(9.09691), 'lower_band': np.float64(6.55409), 'signal': None}","{'value': np.float64(7.8255), 'signal': 'bullish'}","{'value': np.float64(8.01716), 'signal': 'bullish'}","{'k_value': np.float64(67.90123), 'd_value': np.float64(73.66255), 'signal': 'bearish'}","{'value': np.float64(0.49714), 'signal': 'volatile'}","{'value': -34744, 'signal': 'neutral'}","{'levels': {'level_0': array(8.59), 'level_236': array(7.67196), 'level_382': array(7.10402), 'level_618': array(6.18598), 'level_100': array(4.7)}, 'signal': 'bullish'}","{'tenkan_sen': 8.395, 'kijun_sen': 7.735, 'senkou_span_a': 7.605, 'senkou_span_b': 7.37, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 7.46529, 'signal': 'bullish'}",71.14
TIMESGTY,2024-08-31,"{'value': np.float64(48.54167), 'signal': None}","{'value': {'macd': np.float64(0.36781), 'signal': np.float64(0.42246), 'histogram': np.float64(-0.05465)}, 'signal': 'bearish'}","{'middle_band': np.float64(128.955), 'upper_band': np.float64(134.0603), 'lower_band': np.float64(123.8497), 'signal': None}","{'value': np.float64(128.955), 'signal': 'bullish'}","{'value': np.float64(129.21975), 'signal': 'bullish'}","{'k_value': np.float64(63.24111), 'd_value': np.float64(40.20014), 'signal': 'bullish'}","{'value': np.float64(4.75714), 'signal': 'stable'}","{'value': 973290, 'signal': 'bullish'}","{'levels': {'level_0': array(158.5), 'level_236': array(134.0976), 'level_382': array(119.0012), 'level_618': array(94.5988), 'level_100': array(55.1)}, 'signal': 'neutral'}","{'tenkan_sen': 128.775, 'kijun_sen': 132.325, 'senkou_span_a': 130.0125, 'senkou_span_b': 116.88, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 126.21109, 'signal': 'bullish'}",71.11
NDASEC,2024-08-31,"{'value': np.float64(61.95836), 'signal': None}","{'value': {'macd': np.float64(-0.63456), 'signal': np.float64(-1.45541), 'histogram': np.float64(0.82085)}, 'signal': 'bullish'}","{'middle_band': np.float64(37.722), 'upper_band': np.float64(41.67616), 'lower_band': np.float64(33.76784), 'signal': None}","{'value': np.float64(37.722), 'signal': 'bullish'}","{'value': np.float64(38.99781), 'signal': 'bullish'}","{'k_value': np.float64(78.52632), 'd_value': np.float64(77.26187), 'signal': 'bullish'}","{'value': np.float64(2.84929), 'signal': 'stable'}","{'value': 390223, 'signal': 'bullish'}","{'levels': {'level_0': array(89.29), 'level_236': array(71.35636), 'level_382': array(60.26182), 'level_618': array(42.32818), 'level_100': array(13.3)}, 'signal': 'bearish'}","{'tenkan_sen': 38.55, 'kijun_sen': 41.05, 'senkou_span_a': 45.7725, 'senkou_span_b': 49.8, 'chikou_span': 0.0, 'signal': 'bearish'}","{'value': 34.98423, 'signal': 'bullish'}",71.08
PANINDIAC,2024-08-31,"{'value': np.float64(63.63636), 'signal': None}","{'value': {'macd': np.float64(0.04854), 'signal': np.float64(0.01286), 'histogram': np.float64(0.03569)}, 'signal': 'bullish'}","{'middle_band': np.float64(2.384), 'upper_band': np.float64(2.63231), 'lower_band': np.float64(2.13569), 'signal': None}","{'value': np.float64(2.384), 'signal': 'bullish'}","{'value': np.float64(2.42818), 'signal': 'bullish'}","{'k_value': np.float64(63.93443), 'd_value': np.float64(74.86339), 'signal': 'bearish'}","{'value': np.float64(0.11714), 'signal': 'volatile'}","{'value': 3585784, 'signal': 'bullish'}","{'levels': {'level_0': array(3.39), 'level_236': array(3.03836), 'level_382': array(2.82082), 'level_618': array(2.46918), 'level_100': array(1.9)}, 'signal': 'neutral'}","{'tenkan_sen': 2.505, 'kijun_sen': 2.475, 'senkou_span_a': 2.4975, 'senkou_span_b': 2.53, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 2.35682, 'signal': 'bullish'}",71.04
SUGALDAM,2024-08-31,"{'value': np.float64(77.13807), 'signal': 'bearish'}","{'value': {'macd': np.float64(4.3376), 'signal': np.float64(4.00094), 'histogram': np.float64(0.33666)}, 'signal': 'bullish'}","{'middle_band': np.float64(41.5905), 'upper_band': np.float64(53.5161), 'lower_band': np.float64(29.6649), 'signal': None}","{'value': np.float64(41.5905), 'signal': 'bullish'}","{'value': np.float64(42.40007), 'signal': 'bullish'}","{'k_value': np.float64(67.61566), 'd_value': np.float64(82.67612), 'signal': 'bearish'}","{'value': np.float64(3.34357), 'signal': 'stable'}","{'value': 143000, 'signal': 'bearish'}","{'levels': {'level_0': array(48.6), 'level_236': array(40.3754), 'level_382': array(35.2873), 'level_618': array(27.0627), 'level_100': array(13.75)}, 'signal': 'bullish'}","{'tenkan_sen': 46.135, 'kijun_sen': 38.895, 'senkou_span_a': 29.295, 'senkou_span_b': 29.25, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 45.0465, 'signal': 'bullish'}",71.01
